Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
209439446,"Onyx Storm (The Empyrean, #3)",Rebecca Yarros,"Yarros, Rebecca",,"=""1649374186""","=""9781649374189""",3,4.21,Red Tower Books,Hardcover,544,2025,2025,2025/01/28,2025/01/28,,,read,,,,1,0
136636,"Thunderhead (Nora Kelly, #0A)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""0446608378""","=""9780446608374""",5,4.13,Grand Central Publishing,Mass Market Paperback,531,2000,1999,2025/01/21,2025/01/17,,,read,,,,1,0
61153739,Outlive: The Science & Art of Longevity,Peter Attia,"Attia, Peter",Bill Gifford,"=""0593236599""","=""9780593236598""",4,4.33,Harmony,Hardcover,496,2023,2023,2025/01/19,2024/02/06,,,read,,,,1,0
216783285,The Life Cycle of the Common Octopus,Emma   Knight,"Knight, Emma",,"=""0735248729""","=""9780735248724""",0,3.44,Viking,Paperback,304,2025,2025,,2025/01/14,to-read,to-read (#329),to-read,,,,0,0
59575939,An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,Ed Yong,"Yong, Ed",,"=""""","=""""",5,4.46,Random House,Hardcover,464,2022,2022,2025/01/10,2024/02/06,,,read,,,,1,0
54976986,Great Circle,Maggie Shipstead,"Shipstead, Maggie",,"=""""","=""""",0,4.09,Knopf,Hardcover,608,2021,2021,,2025/01/10,to-read,to-read (#328),to-read,,,,0,0
39030,"Reliquary (Pendergast, #2)",Douglas Preston,"Preston, Douglas",Lincoln Child,"=""0765354950""","=""9780765354952""",5,4.04,Tor Books,Mass Market Paperback,464,2005,1997,2025/01/10,2025/01/07,,,read,,,,1,0
23503004,Noise Matters: The Evolution of Communication,R. Haven Wiley,"Wiley, R. Haven",,"=""0674744128""","=""9780674744127""",5,4.25,Harvard University Press,Hardcover,520,2015,2015,2025/01/10,2025/01/10,,,read,,,,1,0
60057155,Saturnalia,Stephanie Feldman,"Feldman, Stephanie",,"=""1951213645""","=""9781951213640""",0,3.43,The Unnamed Press,Hardcover,256,2022,2022,,2025/01/06,currently-reading,currently-reading (#14),currently-reading,,,,1,0
61884779,The Salt Grows Heavy,Cassandra Khaw,"Khaw, Cassandra",,"=""1250830915""","=""9781250830913""",0,3.54,Tor Nightfire,Hardcover,106,2023,2023,,2025/01/06,to-read,to-read (#327),to-read,,,,0,0
62397519,Between Us,Mhairi McFarlane,"McFarlane, Mhairi",,"=""0008412499""","=""9780008412494""",0,3.71,HarperCollins,Kindle Edition,448,2023,2023,,2025/01/05,to-read,to-read (#326),to-read,,,,0,0
54870201,Just Last Night,Mhairi McFarlane,"McFarlane, Mhairi",,"=""0063036851""","=""9780063036857""",0,4.00,William Morrow Paperbacks,Paperback,393,2021,2021,,2025/01/05,to-read,to-read (#325),to-read,,,,0,0
62562931,Same Time Next Summer,Annabel Monaghan,"Monaghan, Annabel",,"=""059354496X""","=""9780593544969""",0,3.74,G.P. Putnam's Sons,Paperback,320,2023,2023,,2025/01/05,to-read,to-read (#324),to-read,,,,0,0
75665887,"You, Again",Kate Goldbeck,"Goldbeck, Kate",,"=""059344812X""","=""9780593448120""",0,3.54,Random House Publishing Group,Paperback,448,2023,2023,,2025/01/05,to-read,to-read (#323),to-read,,,,0,0
65213935,Love Interest,Clare Gilmore,"Gilmore, Clare",,"=""1250880548""","=""9781250880543""",0,3.70,Griffin,Paperback,339,2023,2023,,2025/01/05,to-read,to-read (#322),to-read,,,,0,0
61198133,"The Stolen Heir (The Stolen Heir Duology, #1)",Holly Black,"Black, Holly",,"=""0316592706""","=""9780316592703""",0,3.93,"Little, Brown Books for Young Readers",Hardcover,356,2023,2023,,2025/01/05,to-read,to-read (#321),to-read,,,,0,0
183086339,"Reckless (The Powerless Trilogy, #2)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",0,4.07,Simon & Schuster Children's UK,Kindle Edition,396,2024,2024,,2025/01/05,to-read,to-read (#320),to-read,,,,0,0
75513900,"Powerless (The Powerless Trilogy, #1)",Lauren  Roberts,"Roberts, Lauren",,"=""""","=""""",0,4.16,,Kindle Edition,526,2023,2023,,2025/01/05,to-read,to-read (#319),to-read,,,,0,0
199368721,"Wild Love (Rose Hill, #1)",Elsie Silver,"Silver, Elsie",,"=""0349441626""","=""9780349441627""",3,4.00,Piatkus,Kindle Edition,466,2024,2024,2024/12/30,2024/09/12,,,read,,,,1,0
